"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/15/2021","AirNow","060010007","1","0.049","ppm","45","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/16/2021","AirNow","060010007","1","0.047","ppm","44","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/17/2021","AirNow","060010007","1","0.047","ppm","44","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/18/2021","AirNow","060010007","1","0.052","ppm","48","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/19/2021","AirNow","060010007","1","0.045","ppm","42","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/20/2021","AirNow","060010007","1","0.034","ppm","31","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/21/2021","AirNow","060010007","1","0.039","ppm","36","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/22/2021","AirNow","060010007","1","0.039","ppm","36","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/23/2021","AirNow","060010007","1","0.041","ppm","38","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/24/2021","AirNow","060010007","1","0.043","ppm","40","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/25/2021","AirNow","060010007","1","0.04","ppm","37","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/26/2021","AirNow","060010007","1","0.042","ppm","39","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/27/2021","AirNow","060010007","1","0.04","ppm","37","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/28/2021","AirNow","060010007","1","0.052","ppm","48","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/29/2021","AirNow","060010007","1","0.044","ppm","41","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"04/30/2021","AirNow","060010007","1","0.038","ppm","35","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/01/2021","AirNow","060010007","1","0.032","ppm","30","Livermore","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"05/02/2021","AirNow","060010007","1","0.041","ppm","38","Livermore","20","83.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/01/2021","AirNow","060010009","1","0.019","ppm","18","Oakland","24","100.0000","44201","Ozone","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
